Date,Prod,Cons
2025-12-24 00:00:00,0.0000000,5.4327654
2025-12-24 01:00:00,0.0000000,4.9876543
2025-12-24 02:00:00,0.0000000,4.8765432
2025-12-24 03:00:00,0.0000000,5.1234567
2025-12-24 04:00:00,0.0000000,5.6543210
2025-12-24 05:00:00,0.0000000,6.2345678
2025-12-24 06:00:00,0.0000000,17.3456789
2025-12-24 07:00:00,0.0000000,10.4567890
2025-12-24 08:00:00,5.1234567,32.5678901
2025-12-24 09:00:00,10.2345678,14.6789012
2025-12-24 10:00:00,15.3456789,12.7890123
2025-12-24 11:00:00,18.4567890,10.8901234
2025-12-24 12:00:00,20.5678901,9.9012345
2025-12-24 13:00:00,18.6789012,10.0123456
2025-12-24 14:00:00,25.7890123,12.1234567
2025-12-24 15:00:00,25.8901234,14.2345678
2025-12-24 16:00:00,5.9012345,15.3456789
2025-12-24 17:00:00,0.1234567,18.4567890
2025-12-24 18:00:00,0.0000000,20.5678901
2025-12-24 19:00:00,0.0000000,20.6789012
2025-12-24 20:00:00,0.0000000,24.7890123
2025-12-24 21:00:00,0.0000000,25.8901234
2025-12-24 22:00:00,0.0000000,8.9012345
2025-12-24 23:00:00,0.0000000,6.0123456
